"restart", "يعيد البدء (الإقلاع)","انظر: reboot.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4011, 4, 12
"restore", "يسترجع","يَنسَخُ الملفّاتِ من تجهيزةِ خزْنٍ احتياطية إلى مواضعها الطبيعية، ولا سيما عندما تُنسَخُ تلك الملفاتُ للتعويض عن ملفاتٍ فُقِدَتْ أو حُذِفَتْ خطأً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4012, 4, 12
"restricted function", "وظيفة (إجراء) مقيدة","وظيفةٌ أو عملية قابلةٌ للتنفيذ في شروطٍ معيّنة فقط، ولا سيما عندما تَكون وحدة المعالجة المركزية CPU في النمط ذي الامتياز.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4013, 4, 12
"right click", "ينقر يميناً","ينتقي بواسطةِ الزرِّ الأيمن للفأرة أو أيّ تجهيزة تأشير أخرى. يؤدّي ذلك في بيئةِ Windows 95 عموماً إلى جلْبِ قائمةٍ منبثقة مزوّدة بخيارات قابلة للتطبيق على الغرض الذي يقع المنْزلِقُ cursor فوقه.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4014, 4, 12
"right justification", "محاذاة يمينية","في التنضيد ومعالجة النصوص والنشر المكتبي: إجرائيةُ محاذاةِ النصّ بانتظام على طول الهوامش اليمنى لعمود أو صفحة؛ وتبقى الحافَةُ اليسرى دون محاذاة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4015, 4, 12
"right-justify", "يحاذي يميناً","يحاذي أسطرَ النصّ وعناصر الإظهار الأخرى بحيث تأخذ الحافَاتُ اليمنى شكل خط أملس.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4016, 4, 12
"rigid disk", "قرصٌ صُلْب","انظر: hard disk.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4017, 4, 12
"ring network", "شبكة حلقية","شبكةٌ محليةٌ تتصل فيها التجهيزاتُ (العُقَد) ضمن حلقةٍ مغلقة. وتمرَّرُ الرسائلُ في الشبكة الحلقية من عقدة إلى أخرى باتجاهٍ واحد. وعندما تتسلّم العقدةُ الرسالةَ فإنها تتفحّص عنوانَ الوجهة المرفق. فإذا كان العنوانُ هو نفسُه عنوان العقدة، فإن العقدةَ تَقبل الرسالةَ، وإلا فإنها تُعيد توليدَ الإشارة وتمرِّرُ الرسالةَ إلى العقدةِ التالية في الحلقة. تَسمحُ عمليةُ إعادةِ التوليد هذه للشبكة الحلقية باستيعاب مسافةٍ أكبر من تلك التي تستوعبها الشبكة النجمية والمسروية. ويمكِن أيضاً تصميمُ الشبكة الحلقية بحيث تتخطّى أيَّ قصور ينجم في عقدة لا تعمل بكيفية سليمة أو تكون معطّلة. إلا أن طبيعة الحلقة المغلقة تجعل إضافةَ عُقَدٍ جديدة إلى الشبكة أمراً صعباً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4018, 4, 12
"RIP", "معالج صورة تسامتية","انظر: raster image processor.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4019, 4, 12
"RISC", "حوسبة بمجموعة تعليمات مُصَغَّرة (موجزة)","مختصر: reduced instruction set computing. تصميمُ معالجٍ صِغريّ يركّز عنايته في المعالجة السريعة والفعّالة لمجموعةٍ صغيرة نسبياً من التعليمات البسيطة، التي تتضمن أغلب تعليمات الحاسوب التي يَفكّ ترميزَها ويُنفِّذها. يَستمثِلُ بنيانُ RISC كلاًّ من هذه التعليمات بحيث يستطيع تنفيذَها تنفيذاً سريعاً جداً (خلال دورة ميقاتية واحدة عادةً). لذلك فإن رقاقةَ RISC تُنفِّذ التعليماتِ البسيطةَ تنفيذاً أسرع من المعالِجات الصغرية CISC ذات الاستخدام العام (وهي الحوسبة بمجموعة تعليمات معقدة) والمصمَّمة لتولي مجموعة أوسع من التعليمات. ومع ذلك فهي أبطأُ من رقاقات CISC عندما تقوم بتنفيذ تعليمات معقدة، من الواجب تحليلها إلى عدة تعليمات آلة تستطيع معالجات RISC تنفيذها. تتضمن الرقاقاتُ من أسرة RISC المعالجات SPARC من شركة SUN، ومعالج 88000 من شركة Motorola وسلسلة المعالجات i860 من شركة Intel إضافة إلى المعالج PowerPC الذي طورته شركة Apple وIBM وMotorola.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4020, 4, 12
