English,French,German,Arabic
Enable SmartyPants formatting,Formatage SmartyPants,SmartyPants-Formatierung aktivieren,مكن تنسيقات SmartyPants
Failed to compile the Markdown document.,Impossible de compiler le document « Markdown ».,Das Markdown-Dokument kann nicht kompiliert werden.,فشل في تصيير مستند مارك داون
Failed to open the document,Impossible d'ouvrir le document,Öffnen des Dokuments fehlgeschlagen,فشل في فتح الملفّ
Markdown,Markdown,Markdown,مارك‌داون
Markdown Backend Configuration,Configuration du moteur Markdown,Einstellungen zum Anzeigemodul Markdown,ضبط خلفية  مارك داون
