English,French,German,Arabic
Go,Se déplacer,Gehe zu,اذهب
Close View,Fermer la vue,Ansicht schließen,أغلق العرض
Closes the selected view in the list of last used views.,Ferme l'affichage sélectionné dans la liste des derniers affichages utilisés.,Schließt die ausgewählte Ansicht in der Liste der zuletzt verwendeten Ansichten.,يغلق العرض المحدد في قائمة أخر العروض المستخدمة
Document Switcher,Commutateur de documents,Dokumentumschalter,مبدّل المستندات
Last Used Views,Dernières vues utilisées,Zuletzt verwendete Ansichten,آخر العروض المستخدمة
Last Used Views (Reverse),Dernières vues utilisées (ordre inverse),Zuletzt verwendete Ansichten (rückwärts),آخر العروض المستخدمة (بالمعكوس)
Opens a list to walk through the list of last used views in reverse.,Ouvre une liste pour naviguer à rebours entre les dernières vues utilisées.,"Öffnet eine Liste, in der Sie rückwärts durch die zuletzt verwendeten Ansichten blättern können.",يفتح قائمة للتنقّل فيها بين قائمة لآخر العروض المستخدمة بالعكس.
Opens a list to walk through the list of last used views.,Ouvre une liste pour naviguer entre les dernières vues utilisées.,"Öffnet eine Liste, in der Sie durch die zuletzt verwendeten Ansichten blättern können.",يفتح قائمة للتنقّل فيها بين قائمة لآخر العروض المستخدمة
Walk through the list of last used views,Naviguer dans la liste les dernières vues utilisées,Durch die Liste zuletzt verwendeter Ansichten blättern,تنقّل بين قائمة لآخر العروض المستخدمة
