English,French,German,Arabic
Error while opening the Mobipocket document.,Erreur lors de l'ouverture du document « Mobipocket ».,Fehler beim Öffnen des Mobipocket-Dokuments.,خطأ أثناء فتح مستند Mobipocket .
Mobipocket,Mobipocket,Mobipocket,Mobipocket
Mobipocket Backend Configuration,Configuration du moteur Mobipocket,Einstellungen zum Anzeigemodul Mobipocket,ضبط خلفية Mobipocket
This book is protected by DRM and can be displayed only on designated device,Ce livre est protégé par « DRM » et ne peut être affiché que sur un périphérique prévu à cet effet,Dieses Buch ist durch DRM (Digitales Rechtemanagement) geschützt und kann daher nur auf bestimmten Geräten angezeigt werden.,هذا الكتاب محمي بواسطة DRM و يمكن عرضه فقط في جهاز مخصص
