English,French,German,Arabic
This document appears malformed. Here is a best approximation of the document's intended appearance.,Ce document semble mal formé. Voici la meilleure approximation de l'apparence voulue du document.,Dieses Dokument scheint ungültig zu sein. Es wird die beste Annäherung an das beabsichtigte Erscheinungsbild des Dokuments angezeigt.,يبدو أن هذا المستند غير صحيح. فيما يلي أفضل تقدير تقريبي للمظهر المقصود من المستند.
Unable to load document: %1,Impossible de charger le document : %1,Dokument %1 kann nicht geladen werden,عاجز عن تحميل مستند: %1
