English,French,German,Arabic
"Cannot open document, neither unrar nor unarchiver were found.",Impossible d'ouvrir le document car les programmes « unrar » et « unarchiver » sont absents.,"Das Dokument lässt sich nicht öffnen, da das Programm unrar noch unarchiver nicht gefunden wurde.",تعذر فتح المستند، لم يتم العثور على برنامج  unrar أو unarchiver
The version of unrar on your system is not suitable for opening comicbooks.,La version du programme « unrar » sur votre système est inutilisable pour ouvrir des BD.,Mit der Version des Programms unrar auf Ihren System können keine Comic-Books geöffnet werden.,النسخة الموجودة من برنامج unrar على النظام غير مناسبة لفتح مستندات comicbook
Unknown ComicBook format.,Format « ComicBook » inconnu,Unbekanntes Comic-Book-Format.,تنسيق comicbooks غير معروف
