English,French,German,Arabic
Document is not a valid FictionBook,Le document n'est pas dans un format « FictionBook » valable,Das Dokument ist kein gültiges FictionBook-Dokument.,المستند ليس FictionBook صحيح
Document is not a valid ZIP archive,Le document n'est pas une archive « ZIP » valable,Das Dokument ist kein gültiges ZIP-Archiv.,"نوع ملف غير صحيح , ليس ملف أرشيف من نوع zip"
FictionBook Backend Configuration,Configuration du moteur FictionBook,Einstellungen zum Anzeigemodul FictionBook,ضبط خلفية FictionBook
Invalid XML document: %1,Document XML non valable : %1,Ungültiges XML-Dokument: %1,مستند XML غير صحيح %1
Invalid document structure (main directory is missing),Structure du document non valable (le dossier principal est manquant),Ungültige Dokumentstruktur (Basisordner fehlt),بنية ملف غير صحيحة (المجلد الرئيسي مفقود)
No content found in the document,Aucun contenu trouvé dans le document,Das Dokument hat keinen Inhalt.,لا يوجد محتوى في المستند
Unable to open document: %1,Impossible d'ouvrir le document : %1,Dokument kann nicht geöffnet werden: %1,لا يمكن فتح الملف: %1
