English,Arabic,Description,URL
"Undernet", "[شبكة] Undernet","شبكةٌ عالميةٌ من مخدِّمات التحادث عبر إنترنت IRC، أنشئت عام 1992 بديلاً عن شبكة IRC الرئيسية التي هي أوسع وأكثر فوضوية. لمزيد من المعلومات عن Undernet يمكِن الرجوعُ إلى صفحةِ موطنها على العنوان: http://www.undernet.org.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4935
"underscore", "شَرْطة تحتية","محرفُ تسطيرٍ تحتَ الحرف، يُستعمَلُ غالباً لتأكيد حرفٍ أو كلمة. وفي المظاهير غير البيانية: يُستعمل عادةً للدلالة على المحارف المائلة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4936
"undo", "يتراجع [عن عملية]","يَعكسُ آخرَ فِعْل، مثل التراجع عن عملية حذف، وهذا ما يؤدِّي إلى استعادة النص في وثيقة. يُتيح العديدُ من البرامج التطبيقية عمليتَيْ التراجع والإعادة redo.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4937
"undock", "يَقتلع","يَنْزعُ حاسوباً حمولاً laptop (أو أي حاسوب محمول) من محطةِ إحضان docking station.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4938
"unerase", "استرداد الممحو","انظر: undelete.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4939
"unhandled exception", "استثناءٌ غير مُتَوَلَّى","رسالةُ خطأٍ في Windows تدلّ على تعرّض المعالِج لحالة خطأ لا تستطيع البرمجية الاستجابة لها.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4940
"Unibus", "[مسرى] Unibus","بنيانُ مسرى مخصّص لحواسيب VAX من Digital Corporation، أُدخل في عام 1970.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4941
"Unicode", "[الرِّمَازُ المُوَحَّد] Unicode","مِقْيَسُ standard ترميزِ محارف ذو 16 بتّ، طوَّره تجمّع Unicode في 1988-1991، وذلك باستخدام بايتَيْن لتمثيل كلِّ محرف. يَسمح هذا الرِّمَازُ بتمثيل كافة اللغات المكتوبة في العالم تقريباً بصيغةِ ملفاتٍ نصّية. (خلافاً للترميز ASCII ذي 8 بتّ الذي لا يستطيع تمثيل كافة التراكيب المحتملة للحروف والعلامات المستخدَمة في الأبجدية الرومانية). هناك 28000 جميعة تقريباً من أصل 65536 جميعة ممكنة حُصِّصتْ حتى الآن، منها 21000 استُخدمتْ للغة الصينية. أما الجميعاتُ المتبقية فقد تُركتْ مفتوحةً للامتداد.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4942
"Uniform Data Transfer", "نقل المعطيات المنتظم","انظر: UDT.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4943
"Uniform Naming Convention", "اصطلاح التسمية المُوَحَّد","نظامُ تسميةِ الملفات بين حواسيب Wintel على شبكة محلية LAN، بحيث يَكون لكلِّ ملفٍّ اسمُ المسار ذاته، عندما يراد النفاذ إليه من أيّ حاسوب على الشبكة. مثلاً: إذا كان المصنَّف c:\path1\path2\…\pathn على حاسوب servern مشتركاً باسم pathdirs، فسوف يفتح مستخدمٌ على حاسوبٍ آخر الملف \\servern\pathdirs\filename.ext للنفاذ إلى c:\path1\path2\…\pathn\filename.ext على servern.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4944
"Uniform Resource Citation", "وصف نظامي للموارد","مختصره: URC. وَصْفُ أحدِ أغراض Web الذي يتكوَّن من أزواجٍ من الخاصيات attributes وقيمها. مثل الهُويات النظامية للموارد المترابطة URI، وأسماء المؤلفين، وأسماء الناشرين، والتواريخ، والأسعار.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4945
"uniform resource identifier", "هُويّة نظامية للموارد","مختصره: URI. متواليةُ محرفيةٌ تُستخدَمُ لتعيين هُويّة مَوردٍ في إنترنت بوساطة النوع والموضع.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4946
"Uniform Resource Locator", "عنوان مَورد نظامي","انظر: URL.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4947
"Uniform Resource Name", "اسم مَورد نظامي","مختصره: URN. خطةٌ لتعيين هُويّة الموارد التي يمكِن أن توجدَ على إنترنت دون لَبس، وذلك عن طريق أسمائها دون أخذ مواضعها بالحسبان. إن توصيفَ مَصَاغَةِ format أسماءِ الموارد النظامية لا تزال في قيد التطوير من قبل فريق العمل الهندسي لإنترنت IETF، وتتضمن كافةَ هُويات الموارد النظامية URI التي لها الخطة :urn، و :fpi، و :path، أي تلك التي ليست عناوين نظامية للموارد URL.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4948
"UniForum", "الرابطةُ الدولية لمحترفي النظم المفتوحة","الرابطةُ الدوليةُ لمحترفي النظم المفتوحة؛ منظمةٌ من مستخدِمي UNIX وقيِّمِيه administrators.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4949
"uninstall", "يلغي الإرساء","يُزيلُ البرمجيات من نظامٍ إزالةً كاملة، ويَشمل ذلك حذف المكوِّنات أو الملفات المستوطنة في مواضع النظام، مثل قاعدة السجلات في Windows 95 أو Windows NT. تملك بعضُ التطبيقات نافعاتٍ utilities مضمّنة لإلغاء الإرساء، ويمكِن في الحالات الأخرى استخدامُ برنامج إلغاء إرساء مستقل.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4950
"uninterruptible power supply", "وحدة عدم انقطاع التغذية","انظر: UPS.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4951
"union", "1 اجتماع ؛ 2 اجتماع ؛ 3 اجتماع","1- في نظرية المجموعات: أصغرُ جميعةٍ من مجموعتَيْن تحوي عناصرَ كلٍّ من المجموعتين. 2- في البرمجة: بنيةٌ يمكِن استخدامُها من متغيرات مختلفة، قد تكون من نفس النوع أو لا (مثل الأعداد الصحيحة والمحارف والأعداد البوليانية). 3- في إدارة قواعد المعطيات: مؤثرٌ علاقاتي. إذا كان لدينا علاقتان (جدولان) A وB، متوافقان مع الاجتماع (يحويان عدد الحقول ذاته، والحقول المتقابلة تحوي نوع القيم ذاته)، فإن A اجتماع B يعطي علاقة جديدة تحوي تلك الأسطر (التسجيلات) من A أو B أو من كليهما.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4952
"union-compatible", "متوافق [مع عملية] الاجتماع","في إدارة قواعد المعطيات: صفةٌ لعلاقتَيْن (جدولين) لهما الرتبةُ ذاتُها (أي لهما نفس عدد الخصائص) تعتمد خصائصهما المتقابلة على نفس النطاق (مجموعة ترقيم مقبولة).", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4953
"unipolar", "وحيد القطب","له حالة واحدة. في الإلكترونيات: تجهيزةٌ (أو إشارة) وحيدة القطب تُستعمَلُ فيها قطبيةُ الجهد نفسُها (الموجبة أو السالبة) لتمثيل الحالات الاثنانية: on/off أو صواب/خطأ.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4954
"unit position", "خانة آحاد","خانةُ الآحاد في نظامِ عدٍّ متعدد الخانات، مثاله: الرقْم 3 في العدد 473.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4955
"United States of America Standards Institute", "معهد المَقايس في الولايات المتحدة الأميركية","الاسم السابق لمعهد American National Standards Institute. انظر: ANSI.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4956
"UNIVAC I", "[حاسوب] UNIVAC I","مختصر: Universal Automatic Calculator. أولُ حاسوبٍ إلكتروني تَوفّر تجارياً، صمَّمه Presper Eckert و John Mauchly، وهما أيضاً مخترعا ENIAC (الذي اعتُبر بوجهٍ عام أولَ حاسوبٍ إلكتروني كامل). كان UNIVAC I أولَ حاسوبٍ يمكِن أن يتولّى المعلومات العددية والمعلومات النصية.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4957
"universal asynchronous receiver-transmitter", "مرسل/مستقبل لامتزامن عميم","انظر: UART.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4958
"Universal Product Code", "رماز المنتجات العميم","انظر: UPC.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4959
"universal serial bus", "مسرى تسلسلي عميم","انظر: USB.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4960
"Universal Server", "1 مخدّم عميم ؛ 2 مخدِّم عميم","1- برمجياتٌ من شركة Oracle تعطي معلوماتٍ من قاعدة معطياتها بأشكال متنوعة (كالنص، والصوت، والفيديو)، استجابةً لطلبات HTTP. 2- برمجياتُ قاعدةِ معطيات من Informix تعمل مع نسيقاتٍ modules برمجية ملتقطة snap-in، وذلك لتولّي حاجات المستخدِم لأنوعِ معطياتٍ محدَّدة وسبل معالجتها.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4961
"universal synchronous receiver-transmitter", "مرسل/مستقبل متزامن عميم","انظر: USRT.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4962
"Universal Time Coordinate", "إحداثيّ زمنيّ عميم","مختصره: UTC. يُستخدَمُ (مثل توقيت غرينيتش) في كافة الأغراض العملية لمزامنة الحواسيب على إنترنت.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4963
"UNIX", "[نظام] UNIX","نظامُ تشغيلٍ متعددِ المستخدِمين متعددِ المهمات طوَّره في الأصل Ken Thompson وDennis Ritchie في مخابر AT&T Bell عام 1969 للاستخدام على الحواسيب الصغيرة. يُعدّ UNIX نظامَ تشغيلٍ فعالاً، وهو أكثرُ محمولية، أي إنه أقلُّ اعتماداً على الآلة من نظم التشغيل الأخرى، لأنه مكتوبٌ بلغة C. يتوفّر UNIX بعدة أشكال مترابطة، نذكر منها AIX وهو إصدار من UNIX واءمته IBM (للعمل على محطات عمل مبنية على RISC)، و A/UX (وهو إصدار بياني من Apple Macintosh)، و Mach (وهو نظام تشغيل متوافق مع UNIX أساساً أعيدت كتابته لحواسيب NeXT).", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4964
