glassmaker,vitrier,زجّاج,صانع الزجاج أو بائعه.
agriculturist,agriculteur,زراعيّ,َمن يعمل في الإنتاج الزراعي عِوَج اختلاف أنواعه.
mender,remailleur,زرّاد,صانع الزرد وحلقات المعدنية عامًة
florist,fleuriste,زهّار,بائع الأزها‌ر ونباتات الزينة.
oilman,huilier,زيّات,عاصر الزيت وبائعه.
stableman,palefrenier,سائس,َمن يقوم على خدمة الخيول.
driver,chauffeur,سائق,َمن يقود السيارة ونحوها.
ka'ba door keeper ,employé de la ka'ba,سادّن,خادم المكان المقدس وزواره.
watchmaker,horloger,ساعاتيّ,صانع الساعات أو مصلّحها.
postman,facteur,ساعي البريد,موزع البريد والرسائل ونحوها.
plumber,plombier,سبّاك,َمن يركب التجهيزات الصحية ويصلحها.
lampmaker,lampiste,سرّاج,صانع السروج(ج. سراج) والقناديل وبائعها.
saddler,sellier,سروجيّ,صانع السروج واللوازم الجلدية.
shipbuilder,constructeur de navires,سفّان,صانع السفن والقوارب الخشبية.
water barer,porteur d'eau,سقّاء,َمن كان عمله نقل الماء إلى البيوت ونحوها.
roofer,couvreur,سقّاف,َمن حرفته بناء السطوح والسقوف من مواد مختلفة كالخشب والقرميد والطين.
confectioner,confiseur,سكاكريّ,صانع الفاكهة المجففة والنقول السكرية أو بائعها.
cutler,coutelier,سكاكينيّ,صانع السكاكين ونحوها من الأدوات الحادة أو مصلحها أو بائعها.
founder,fondeur,سكّاب,َمن يصهر المعادن والأشابة ويصُبها في قالب.
coiner,monnayeur,سكّاك,َمن يصنع النقود أو طباعة.
basket worker,vannier,سلّال,ﻣﻦ ﻳﺰرع اﻟﻐﺮاس أو اﻟﻔﺴﺎﺋﻞ ﻟﺒﻴﻌﻬﺎ.
horse dealer,maquignon,سمسار خيل,الوسيط في بيع الخيول وبيعها.
fishmonger,poissonnier,سماّك,بائع السمك وثمر البحر.
grocer,épicier,سمّان,بائع السمن ومشتقات الألبان.
script writer,scénariste,سناريّ,كاتب يضع فصول عمل تمثل بدقائقها الحوارية والحركية ومؤثراته الصوتية.
brewer,brasseur,سوبي,صانع الجعة وبائعها، والجعة هي النبيد المتخذ من الشعير، والسوبية هي النبيد المتخذ من الرز.
armourer,armurier,سيوفيّ,صانع السيوف أو بائعها.
shroud merchant,marchand de linceuls,سيّاء,بائع الأكفان والتوابيت ولوازم الموتى، والحرفة السياءة.
headsman,bourreau,سيّاف,مأمور تنفيذ أحكام القصاص بالسيف.
sheep breeder,éleveur,شاويّ,َمن يرعى الغنم والشياه.
nursery man,pépiniériste,شتّال,َمن يزرع الغراس أو الفسائل لبيعها.
loader,chargeur,شحّين,َمن مهنته شحن البضائع المختلفة.
soft drinks leader,limonadier,شراباتيّ,َمن يبيع عصير الفواكه.
policeman,policier,شرطيّ,فرد في قوة حفظ الأمن في البلاد.
spinner,fileur,شعّار,َمن يغزل الشعر خيوطًا.
skin dresser,peaussier,شلّاح,َمن يعدّ الجلود للدبغ.
griller,rôtisseur,شوّاء,محترف إنضاج اللحوم بمباشرة النار.
gleaner,glaneur,شوّار,َمن يلتقط أو يجمع الثمر في مواسمها.
goldsmith,orfèvre,صائغ,َمن حرفته الصياغة، وهي عمل الحلي من فضة وذهب ونحوها.
restaurateur,restaurateur,صاحب مطعم,َمن يمتلك مكانًا يقدم الطعام فيه بثمن.
gunsmith,armurier,صانع اسلحة,َمن يصنع أدوات القتال أو يبيعها أو يصلحها.
modeller,maquettiste,صانع نماذج,َمن يصنع نموذجًا مصغرًا أو ثلاثي الأبعاد لمنزل أو آلة أو إعلان.
dyer,teinturier,صبّاغ,َمن حرفته صبغ الثياب ونحوها.
soap manufacturer,savonnier,صبّان,صانع الصابون.
plate maker,fabriquant d'assiettes,صحّاف,صانع الصحاف أو بائعها، وهي القصاع وأواقي الطعام.
journalist,journaliste,صحفي,من يزاول مهنة الصحافة، وهي مهنة من يكتب في صحيفة أو مجلة أو يجمع الأخبار والآراء وينشرها في إحداهما.
tinker,ferblantier,صفّاح,من يصنع الأدوات والأواني المنزلية من الصفائح ونحوه.
coppersmith,chaudronnier,صفّار,صانع اللحلى النحاسية.
lapidary,lapidaire,صقّال,من يقطع الأحجار الكريمة ليصقلها بأشكال مناسبة.
molder,fondeur,صهّار,عامل بسيل المعادن بالحرارة ويصهرها في قوالب.
wool merchant,lainier,صوّاف,تاجر الصوف.
pharmacist,pharmacien,صيدلانيّ,المجاز في إعداد الأدوية وبيعها.
apothecary,apothicaire,صيدن,من حرفته إعداد وبيع المواد الداخلة في صناعة الأدوية، والحرفة الصيدنة أي العطارة. والشائع اليوم )صيدلة(.
money changer,changeur,صرّاف,من يبيع النقود ويشترى أو يحولها إلى جهة أخرى.
burnisher,brunisseur,صيّقل,من يجلو المعادن ويلمعها،)ج. صياغلة وصياقل(
hunter,chasseur,صيّاد,من يمارس الصيد البري.
fisherman,pêcheur,صيّاد سمك,من يمارس الصيد البحري.
croupier,croupier,ضرّيب,المشرف على موائد القمار.
printer,imprimeur,طبّاع,من حرفته طباعة الكتب وسواها.
cook,cuisinier,طبّاخ,من مهـنته طهـو الطعام بأنواعه.
topographer,topographe,طبغرافي,الخبير بوصف التضاريس الجغرافية للأراضي ورسم خرائطها.
physician,medecin,طبيب,من يشخص الأمراض البشرية ويعالجها.
otologist,otologue,طبيب اذنية,طبيب متخصص في أمراض الأذن تشخيصا ومعالجة.
dentist,dentiste,اسنان اسنان,طبيب متخصص في مداواة الأسنان وجراحتها
radiologist,radiologue,طبيب اشعة,طبيب متخصص في استعمال الأشعة في تشخيص الأمراض أو معالجة المريض.
pediatrician,pediatre,طبيب اطفال,طبيب متخصص في معالجة أمراض الأطفال منذ الولادة حتى سن المراهقة.
dermatologist,dermatologiste,طبيب جلدية,طبيب متخصص في معالجة أمراض الجلد.
rheumatologist,rhumatologue,طبيب رثية,طبيب متخصص في دراسة الأمراض والالتهابات المفصلية وتشخيصها ومعالجتها.
pneumatologist,pneumatologue,طبيب صدرية,طبيب متخصص في أمراض الرئة وجهاز التنفس.
neurologist,neurologue,طبيب عصبية,طبيب متخصص في أمراض الجهاز العصبي
orthopedist,orthopediste,طبيب عظام,طبيب متخصص في معالجة أمراض العظام
oculist,oculiste,طبيب عيون,طبيب متخصص في معالجة أمراض العيون وعيوب الرؤية
cardiologist,cardiologue,طبيب قلبية,طبيب متخصص في أمراض القلب
nephrologist,nephrologue,طبيب كلى,طبيب متخصص في أمراض الكلى ومعالجتها
psychiatrist,psychiatre,طبيب نفساني,طبيب الأمراض النفسية
miller,meunier,طحّان,من يطحن الحبوب ويحولها إلى دقيق
embroiderer,brodeur,طرّاز,من يوشي الثياب ونحوها بخيوط الحرير أو بأسلاك الذهب أو الفضة ونحوها
aviator,aviateur,طيّار,قائد الطائرة أو أحد أفراد طاقمها.
plasterer,platreur,طيّان,من يعِد الطين ويطلي به الجدران.
pianist,pianiste,عازف بيانو,الموسيقي الذي يعزف على البيانو
osteologist,osteologue,عالم بالعظام,طبيب متخصص في معالجة أمراض العظام.
entomologist,entomologiste,عالم حشرات,متخصص في دراسة الحشرات والإلمام بتصنيفاتها وطرق معيشتها ومكافحتها.
demographer,demographe,عالم سكان,الخبير في علم السكان (الديموغرافيا).
ornithologist,ornithologue,عالم طيور,المتخصص في دراسة الطيور بأنواعها المختلفة.
pharmacologist,pharmacologue,عالم عقاقير,المتخصص في علم الأدوية (تركيبيها واستخدامها وتأثيرها).
psychologist,psychologue,عالم نفساني,المتخصص في علم النفس.
telephonist,telephoniste ,عامل مقسم,موظف ينظم توزيع المكالمات الهاتفية.
bargee,marinier,عبّار,من يقود عبارة نهرية لنقل الأشخاص والبضائع.
kneader,petrisseur,عجّان,من مهنته العجن، أي خلط الماء بالدقيق حتى يتماسك ويصلح للخبز.
carter,charretier,عرباتيّ,من يقود عربة لنقل الأشياء.
seer,voyant,عرّاف,من يدعي قراءة الغيب.
military,militaire,عسكري,من امتهن العمل في القوات المسلحة.
herbalist,herboriste,عشّاب,جامع الأعشاب الطبية والعطرية وبائعها، ومن يدواي بها.
bird seller,oiseleur,عصافيريّ,جامع الطيور وبائعها.
perfumer,parfumeur,عطريّ,صانع العطور أو بائعها.
herbalist,herboriste,عطّار,بائع المواد الطبيعية والأعشاب التي تستعمل في علاج بعض الأمراض.
haberdasher,passementier,عقّاد,من يصنع من الخيوط المغزولة ومزوقات الألبسة والمفروشات ويبيع الأزرار والكلف.
fodder merchant,marchand de fourrage,علّاف,من يبيع أغذية الحيوان من الحبوب ونحوها.
worker in ivory,ivoirier,عوّاج,من ينقش على العاج ويزينه.
locksmith,serrurier,غالاتيّ,من يصنع الأقفال أو يبيعها (مو).
spinner,fileur,غزّال,من يغزل الصوف أو القطن ونحوها خيوطًا.
washerwoman,lavandiere,غسّالة,عاملة تغسل الثياب مقابل أجر.
diver,plongeur,غوّاص,من حرفته الغطس في الماء لاستخراج شئ ما.
worker,ouvrier journalier,فاعل,عامل يدوي غير متخصص بمهنة، يعمل مياومة.
fruiterer,fruitier,فاكهانيّ,من يبيع الفاكهة في دكان أو محل تجاري.
pyrotechnist,artificier,فتاشيّ,صانع الألعاب النارية ومصممها ومطلقها للزينة في الاحتفالات
thrower,moulinier,فتّال,جدال الحرير.
coal dealer,charbonnier,فحّام,صانع الفحم أو بائعه.
trapper,trappeur,فخّاخ,من يصيد الحيوان البري بالفخ.
potter,potier,فخّاخري,صانع الفخار وبائعه.
furrier,fourreur,فرّاء,صانع ملابس الفقراء وبائعها.
baker,boulanger,فرّان,من يصنع الخبز والمعجنات.
