chimney sweeper,ramoneur,مداخني,من حرفته تنظيف المداخن وإصلاحها.
governess,gouvernante,مدبرة منزل,من يعهد إليه برعاية الأطفال وتربيتهم.
attorney,procureur general,مدع عام,قاضٍ يمثل الدولة في الدفاع عن الحق العام.
chiropodiste,pedicure,مدرّم,من يقوم بتقليم أظافر القدمين والعناية بهما.
masseur,masseur,مدلّك,من يمسد الجسم للتمريض أو التنشيط أو التنظيف.
director,directeur,مدير,من يتولى مسؤولية إدارة مؤسسة حكومية أو خاصة أو مدرسة، وتصريف العمل فيها.
principal,principal,مدير مدرسة,من يتولى تصريف أمور مدرسةٍ متعددة المراحل.
gilder,doreur,مذهّب,من يحلي الأشياء الثمينة بالذهب.
sharecropper,metayer,مرابع,من يعمل في الأرض مقابل أجر أو نسبة من إنتاجها، وكانت في القديم بمقدار الربع.
reviser,reviseur,مراجع,من يعهد إليه النظر في نص مؤلف يراد نشره ليدقق في مادته ويصححها.
correspondent,correspondant,مراسل,من يمد مؤسسة إعلامية أو علمية أو إدارية بالأخبار والمقالات.
reporter,reporter,مراسل صحفي,من يمد الصحيفة بالأخبار والتحقيقات في موضوع ما.
controller,controleur,مراقب,من يقوم بملاحظة أداء أفراد أو هيئة.
air traffic controller,aiguilleur,مراقب جوي,المكلف بتوجيه مسار الطائرات.
comptroller,controleur,مراقب حسابات,من يراجع النفقات والحسابات في مؤسسة ما.
mirror dealer,miroitier,مرياتي,صانع المرايا أو بائعها.
educator,educateur,مربّي,من يعلم الناشئة ويعدهم.
pisciculturist,pisciculteur,مربي اسماك,من حرفته تربية الأسماك في أحواض، وإعدادها للنتاج أو الاستهلاك.
pediatric nurse,puericulteur,مربي اطفال,من مهنته تربية صغار الأطفال.
pigeon breeder,eleveur de pigeons,مربي حمام,مربي الحمام.
breeder,eleveur,مربي حيوانات,من حرفته تربية الحيوانات وإعدادها للنتاج أو الاستهلاك.
swineherd,porcher,مربي خنازير,من حرفته تربية الخنازير وإعدادها للنتاج أو الاستهلاك.
oysterman,ostreiculteur,مربي محار,من حرفته تربية المحار في أحواض.
governess,gouvernante,مربية اطفال,يعهد إليها برعاية الأطفال وتربيتهم.
crimper,sertisseur,مرصّع,من ينضد الجواهر في الحلي وغيرها.
